seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,energy,maxenergy,class
0.0,0.0,0.0,0.004797022378398372,0.04450841452612932,0.04697986577181208,0.061027837259100645,0.0,0.0,0.0,0
1.0,0.5,1.0,0.004912613279082671,0.022364924712134634,0.07457121551081283,0.03961456102783726,0.0,0.009900990099009901,0.01,0
0.0,0.5,0.0,0.018425189569077124,0.09543844109831709,0.1401938851603281,0.08886509635974305,0.0,0.0,0.0,0
0.0,0.0,1.0,0.002215492263115714,0.008635961027457928,0.061894108873974646,0.06745182012847965,0.0,0.01089108910891089,0.01,0
0.0,0.0,1.0,0.017673848714629185,0.05491585473870682,0.05965697240865026,0.11884368308351177,0.0,0.019801980198019802,0.02,0
0.0,0.0,0.0,0.009174064484310462,0.04317980513728964,0.08351976137211037,0.05460385438972163,0.0,0.0,0.0,0
0.0,0.0,0.0,0.05571096109980889,0.07949512843224092,0.037285607755406416,0.047109207708779445,0.0,0.006600660066006601,0.006666666666666667,0
0.0,0.5,1.0,0.0026354725356019975,0.022807794508414525,0.1715137956748695,0.25481798715203424,0.5,0.0,0.0,0
0.0,1.0,0.0,0.015589359472289009,0.16009743135518156,0.0738255033557047,0.12205567451820129,1.0,0.0,0.0,0
1.0,0.0,0.0,0.007278373713087973,0.06355181576616475,0.0447427293064877,0.06531049250535331,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0167105912089267,0.061780336581045175,0.03877703206562267,0.07173447537473233,0.0,0.0023102310231023103,0.0023333333333333335,0
0.0,0.0,0.0,0.24199725664262375,0.1403897254207263,0.04399701715137957,0.04068522483940043,0.0,0.007590759075907591,0.006666666666666667,0
1.0,0.0,0.0,0.006280438937180198,0.07130203720106289,0.11707680835197613,0.12098501070663811,0.0,0.0009900990099009901,0.001,0
0.0,0.5,0.0,0.04285339991369213,0.03697962798937113,0.0447427293064877,0.035331905781584586,0.0,0.0165016501650165,0.01,0
1.0,0.5,1.0,0.0062342025769064795,0.145925597874225,0.116331096196868,0.19700214132762311,0.0,0.0,0.0,0
1.0,0.5,0.0,0.007047191911719376,0.026350752878653676,0.048471290082028336,0.03961456102783726,0.0,0.0039603960396039604,0.0026666666666666666,0
0.0,1.0,0.0,0.040741939461192284,0.2183348095659876,0.1819537658463833,0.15524625267665954,0.5,0.0,0.0,0
1.0,0.0,0.0,0.004523457246778867,0.06775907883082374,0.05965697240865026,0.07494646680942184,0.0,0.0,0.0,0
1.0,0.0,0.0,0.11979455643918377,0.25354295837023916,0.04325130499627144,0.03640256959314775,0.0,0.047524752475247525,0.03,0
0.0,0.0,0.0,0.40918793539239257,0.43844109831709477,0.05145413870246085,0.07387580299785867,0.0,0.017161716171617162,0.016666666666666666,0
0.0,1.0,0.0,0.010133468959990136,0.12178919397697077,0.04623415361670395,0.08886509635974305,1.0,0.0,0.0,0
1.0,0.5,0.0,0.018255656248073484,0.11182462356067316,0.10141685309470544,0.09100642398286937,0.0,0.0,0.0,0
1.0,0.0,1.0,0.002573824055237038,0.03365810451727192,0.04697986577181208,0.07601713062098502,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0025853831453054683,0.028565101860053146,0.041759880686055184,0.042826552462526764,0.0,0.0033003300330033004,0.0033333333333333335,0
0.0,0.5,0.0,0.017442666913260588,0.1304251550044287,0.13049962714392244,0.1381156316916488,0.0,0.0,0.0,0
0.0,0.0,1.0,0.010684452253251958,0.010850310008857396,0.08053691275167785,0.08779443254817987,0.0,0.0,0.0,0
0.0,0.5,0.0,0.008465106960113433,0.1087245349867139,0.061894108873974646,0.1145610278372591,0.0,0.0029702970297029703,0.003,0
0.0,0.0,1.0,0.001483416558781826,0.04074402125775022,0.02162565249813572,0.07494646680942184,0.0,0.0,0.0,0
1.0,0.0,0.0,0.004877936008877381,0.09433126660761736,0.04325130499627144,0.069593147751606,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0010017878059305838,0.005757307351638618,0.07307979120059657,0.07066381156316917,0.0,0.0,0.0,0
1.0,0.0,0.0,0.006415294987978546,0.0633303808680248,0.10663683818046234,0.12205567451820129,0.0,0.0,0.0,0
0.0,0.0,0.0,0.024528389125208064,0.06532329495128432,0.07979120059656973,0.09635974304068523,0.0,0.0,0.0,0
0.0,0.5,0.0,0.0053518587016830035,0.07661647475642161,0.053691275167785234,0.055674518201284794,0.0,0.0,0.0,0
1.0,0.0,0.0,0.24869767585229025,0.45017714791851193,0.07680835197613721,0.10920770877944326,0.0,0.21056105610561057,0.13333333333333333,0
0.0,0.0,1.0,0.0024929104247580296,0.00487156775907883,0.04399701715137957,0.059957173447537475,0.0,0.0,0.0,0
0.0,0.0,1.0,0.049877473645274645,0.06731620903454384,0.042505592841163314,0.055674518201284794,0.0,0.0,0.0,0
0.0,0.5,0.0,0.00874637815177856,0.08702391496899911,0.06562266964951528,0.08993576017130621,0.0,0.0,0.0,0
0.0,0.0,0.0,0.07009432217495838,0.3906111603188663,0.1185682326621924,0.1702355460385439,0.0,0.058745874587458745,0.023333333333333334,0
0.0,0.0,0.0,0.012722705135318414,0.06023029229406555,0.049217002237136466,0.07387580299785867,0.0,0.022442244224422443,0.01,0
0.0,0.0,0.0,0.005698631403735898,0.06731620903454384,0.02982848620432513,0.05139186295503212,0.0,0.0,0.0,0
